41,2026-06-22,Argentina,Austria,Group Stage,Group J,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",13:00:00
42,2026-06-22,France,Winner FIFA Playoff 2,Group Stage,Group I,Philadelphia,USA,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia, USA",17:00:00
43,2026-06-22,Norway,Senegal,Group Stage,Group I,New York/New Jersey,USA,MetLife Stadium,"MetLife Stadium, New York/New Jersey, USA",20:00:00
44,2026-06-22,Jordan,Algeria,Group Stage,Group J,San Francisco Bay Area,USA,Levi's Stadium,"Levi's Stadium, San Francisco Bay Area, USA",23:00:00
45,2026-06-23,Portugal,Uzbekistan,Group Stage,Group K,Houston,USA,NRG Stadium,"NRG Stadium, Houston, USA",13:00:00
46,2026-06-23,England,Ghana,Group Stage,Group L,Boston,USA,Gillette Stadium,"Gillette Stadium, Boston, USA",16:00:00
47,2026-06-23,Panama,Croatia,Group Stage,Group L,Toronto,Canada,BMO Field,"BMO Field, Toronto, Canada",19:00:00
48,2026-06-23,Colombia,Winner FIFA Playoff 1,Group Stage,Group K,Guadalajara,Mexico,Estadio Akron,"Estadio Akron, Guadalajara, Mexico",22:00:00
49,2026-06-24,Switzerland,Canada,Group Stage,Group B,Vancouver,Canada,BC Place,"BC Place, Vancouver, Canada",15:00:00
50,2026-06-24,Winner UEFA Playoff A,Qatar,Group Stage,Group B,Seattle,USA,Lumen Field,"Lumen Field, Seattle, USA",15:00:00
51,2026-06-24,Scotland,Brazil,Group Stage,Group C,Miami,USA,Hard Rock Stadium,"Hard Rock Stadium, Miami, USA",18:00:00
52,2026-06-24,Morocco,Haiti,Group Stage,Group C,Atlanta,USA,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta, USA",18:00:00
53,2026-06-24,Winner UEFA Playoff D,Mexico,Group Stage,Group A,Mexico City,Mexico,Estadio Azteca,"Estadio Azteca, Mexico City, Mexico",21:00:00
54,2026-06-24,South Africa,South Korea,Group Stage,Group A,Monterrey,Mexico,Estadio BBVA,"Estadio BBVA, Monterrey, Mexico",21:00:00
55,2026-06-25,Curaçao,Côte d'Ivoire,Group Stage,Group E,Philadelphia,USA,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia, USA",16:00:00
56,2026-06-25,Ecuador,Germany,Group Stage,Group E,New York/New Jersey,USA,MetLife Stadium,"MetLife Stadium, New York/New Jersey, USA",16:00:00
57,2026-06-25,Japan,Winner UEFA Playoff B,Group Stage,Group F,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",19:00:00
58,2026-06-25,Tunisia,Netherlands,Group Stage,Group F,Kansas City,USA,Arrowhead Stadium,"Arrowhead Stadium, Kansas City, USA",19:00:00
59,2026-06-25,Winner UEFA Playoff C,United States,Group Stage,Group D,Los Angeles,USA,SoFi Stadium,"SoFi Stadium, Los Angeles, USA",22:00:00
60,2026-06-25,Paraguay,Australia,Group Stage,Group D,San Francisco Bay Area,USA,Levi's Stadium,"Levi's Stadium, San Francisco Bay Area, USA",22:00:00
61,2026-06-26,Norway,France,Group Stage,Group I,Boston,USA,Gillette Stadium,"Gillette Stadium, Boston, USA",15:00:00
62,2026-06-26,Senegal,Winner FIFA Playoff 2,Group Stage,Group I,Toronto,Canada,BMO Field,"BMO Field, Toronto, Canada",15:00:00
63,2026-06-26,Cabo Verde,Saudi Arabia,Group Stage,Group H,Houston,USA,NRG Stadium,"NRG Stadium, Houston, USA",20:00:00
64,2026-06-26,Uruguay,Spain,Group Stage,Group H,Guadalajara,Mexico,Estadio Akron,"Estadio Akron, Guadalajara, Mexico",20:00:00
65,2026-06-26,Egypt,IR Iran,Group Stage,Group G,Seattle,USA,Lumen Field,"Lumen Field, Seattle, USA",23:00:00
66,2026-06-26,New Zealand,Belgium,Group Stage,Group G,Vancouver,Canada,BC Place,"BC Place, Vancouver, Canada",23:00:00
67,2026-06-27,Panama,England,Group Stage,Group L,New York/New Jersey,USA,MetLife Stadium,"MetLife Stadium, New York/New Jersey, USA",17:00:00
68,2026-06-27,Croatia,Ghana,Group Stage,Group L,Philadelphia,USA,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia, USA",17:00:00
69,2026-06-27,Colombia,Portugal,Group Stage,Group K,Miami,USA,Hard Rock Stadium,"Hard Rock Stadium, Miami, USA",19:30:00
70,2026-06-27,Winner FIFA Playoff 1,Uzbekistan,Group Stage,Group K,Atlanta,USA,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta, USA",19:30:00
71,2026-06-27,Algeria,Austria,Group Stage,Group J,Kansas City,USA,Arrowhead Stadium,"Arrowhead Stadium, Kansas City, USA",22:00:00
72,2026-06-27,Jordan,Argentina,Group Stage,Group J,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",22:00:00
73,2026-06-28,2A,2B,Round of 32,,Los Angeles,USA,SoFi Stadium,"SoFi Stadium, Los Angeles, USA",15:00:00
74,2026-06-29,1C,2F,Round of 32,,Houston,USA,NRG Stadium,"NRG Stadium, Houston, USA",13:00:00
75,2026-06-29,1E,3ABCDF,Round of 32,,Boston,USA,Gillette Stadium,"Gillette Stadium, Boston, USA",16:30:00
76,2026-06-29,1F,2C,Round of 32,,Monterrey,Mexico,Estadio BBVA,"Estadio BBVA, Monterrey, Mexico",21:00:00
77,2026-06-30,2E,2I,Round of 32,,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",13:00:00
78,2026-06-30,1I,3CDFGH,Round of 32,,New York/New Jersey,USA,MetLife Stadium,"MetLife Stadium, New York/New Jersey, USA",17:00:00
79,2026-06-30,1A,3CEFHI,Round of 32,,Mexico City,Mexico,Estadio Azteca,"Estadio Azteca, Mexico City, Mexico",21:00:00
80,2026-07-01,1L,3EHIJK,Round of 32,,Atlanta,USA,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta, USA",12:00:00
81,2026-07-01,1G,3AEHIJ,Round of 32,,Seattle,USA,Lumen Field,"Lumen Field, Seattle, USA",16:00:00
82,2026-07-01,1D,3BEFIJ,Round of 32,,San Francisco Bay Area,USA,Levi's Stadium,"Levi's Stadium, San Francisco Bay Area, USA",20:00:00
83,2026-07-02,1H,2J,Round of 32,,Los Angeles,USA,SoFi Stadium,"SoFi Stadium, Los Angeles, USA",15:00:00
84,2026-07-02,2K,2L,Round of 32,,Toronto,Canada,BMO Field,"BMO Field, Toronto, Canada",19:00:00
85,2026-07-02,1B,3EFGIJ,Round of 32,,Vancouver,Canada,BC Place,"BC Place, Vancouver, Canada",23:00:00
86,2026-07-03,2D,2G,Round of 32,,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",14:00:00
87,2026-07-03,1J,2H,Round of 32,,Miami,USA,Hard Rock Stadium,"Hard Rock Stadium, Miami, USA",18:00:00
88,2026-07-03,1K,3DEIJL,Round of 32,,Kansas City,USA,Arrowhead Stadium,"Arrowhead Stadium, Kansas City, USA",21:30:00
89,2026-07-04,W73,W75,Round of 16,,Houston,USA,NRG Stadium,"NRG Stadium, Houston, USA",13:00:00
90,2026-07-04,W74,W77,Round of 16,,Philadelphia,USA,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia, USA",17:00:00
91,2026-07-05,W76,W78,Round of 16,,New York/New Jersey,USA,MetLife Stadium,"MetLife Stadium, New York/New Jersey, USA",16:00:00
92,2026-07-05,W79,W80,Round of 16,,Mexico City,Mexico,Estadio Azteca,"Estadio Azteca, Mexico City, Mexico",20:00:00
93,2026-07-06,W83,W84,Round of 16,,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",15:00:00
94,2026-07-06,W81,W82,Round of 16,,Seattle,USA,Lumen Field,"Lumen Field, Seattle, USA",20:00:00
95,2026-07-07,W86,W88,Round of 16,,Atlanta,USA,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta, USA",12:00:00
96,2026-07-07,W85,W87,Round of 16,,Vancouver,Canada,BC Place,"BC Place, Vancouver, Canada",16:00:00
97,2026-07-09,W89,W90,Quarterfinals,,Boston,USA,Gillette Stadium,"Gillette Stadium, Boston, USA",16:00:00
98,2026-07-10,W93,W94,Quarterfinals,,Los Angeles,USA,SoFi Stadium,"SoFi Stadium, Los Angeles, USA",15:00:00
99,2026-07-11,W91,W92,Quarterfinals,,Miami,USA,Hard Rock Stadium,"Hard Rock Stadium, Miami, USA",17:00:00
100,2026-07-11,W95,W100,Quarterfinals,,Kansas City,USA,Arrowhead Stadium,"Arrowhead Stadium, Kansas City, USA",21:00:00
101,2026-07-14,W97,W98,Semifinals,,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",15:00:00
102,2026-07-15,W99,W100,Semifinals,,Atlanta,USA,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta, USA",15:00:00
103,2026-07-18,RU101,RU102,Third Place Playoff,,Miami,USA,Hard Rock Stadium,"Hard Rock Stadium, Miami, USA",17:00:00
104,2026-07-19,W101,W102,Final,,New York/New Jersey,USA,MetLife Stadium,"MetLife Stadium, New York/New Jersey, USA",15:00:00